Orthogroup	Tribolium_castaneum_rna.fna.transdecoder_cd	Botrytis_cinerea.fna.transdecoder_cd
OG0000002	gnl|WGS_AAJJ|TC011078-RA.p1, gnl|WGS_AAJJ|TC002659-RA.p1, gnl|WGS_AAJJ|TC033855-RA.p1, gnl|WGS_AAJJ|TC003081-RA.p1, gnl|WGS_AAJJ|TC008267-RA.p1, gnl|WGS_AAJJ|TC007017-RA.p1, gnl|WGS_AAJJ|TC008504-RA.p1, gnl|WGS_AAJJ|TC007019-RA.p1, gnl|WGS_AAJJ|TC031004-RA.p1, gnl|WGS_AAJJ|TC011014-RA.p1, gnl|WGS_AAJJ|TC006026-RA.p1, gnl|WGS_AAJJ|TC000546-RA.p1, gnl|WGS_AAJJ|TC000545-RA.p1, gnl|WGS_AAJJ|TC001023-RA.p1, gnl|WGS_AAJJ|TC000547-RA.p1, gnl|WGS_AAJJ|TC004770-RA.p1, gnl|WGS_AAJJ|TC013326-RA.p1, gnl|WGS_AAJJ|TC004624-RA.p1, gnl|WGS_AAJJ|TC013613-RA.p1, gnl|WGS_AAJJ|TC004635-RA.p1, gnl|WGS_AAJJ|TC032356-RA.p1, gnl|WGS_AAJJ|TC002768-RA.p1, gnl|WGS_AAJJ|TC008505-RA.p1, gnl|WGS_AAJJ|TC032193-RA.p1, gnl|WGS_AAJJ|TC013084-RB.p1, gnl|WGS_AAJJ|TC014083-RA.p1, gnl|WGS_AAJJ|TC013709-RA.p1, gnl|WGS_AAJJ|TC015617-RA.p1, gnl|WGS_AAJJ|TC015618-RA.p1, gnl|WGS_AAJJ|TC002785-RA.p1, gnl|WGS_AAJJ|TC002786-RA.p1, gnl|WGS_AAJJ|TC004418-RA.p1	XM_024695922.1.p1, XM_001556742.2.p1
OG0000007	gnl|WGS_AAJJ|TC031623-RA.p1, gnl|WGS_AAJJ|TC012952-RA.p1, gnl|WGS_AAJJ|TC031727-RA.p1, gnl|WGS_AAJJ|TC033506-RA.p1, gnl|WGS_AAJJ|TC031778-RA.p1, gnl|WGS_AAJJ|TC004268-RA.p1, gnl|WGS_AAJJ|TC002641-RA.p1, gnl|WGS_AAJJ|TC002008-RA.p1, gnl|WGS_AAJJ|TC012949-RA.p1, gnl|WGS_AAJJ|TC031670-RA.p1, gnl|WGS_AAJJ|TC002946-RA.p1, gnl|WGS_AAJJ|TC001491-RA.p1, gnl|WGS_AAJJ|TC016130-RA.p1, gnl|WGS_AAJJ|TC006847-RA.p1, gnl|WGS_AAJJ|TC016404-RA.p1, gnl|WGS_AAJJ|TC031295-RA.p1, gnl|WGS_AAJJ|TC012951-RA.p2	XM_001545859.2.p1
OG0000009	gnl|WGS_AAJJ|TC009681-RA.p1, gnl|WGS_AAJJ|TC009682-RA.p1, gnl|WGS_AAJJ|TC033441-RA.p1, gnl|WGS_AAJJ|TC032878-RA.p1, gnl|WGS_AAJJ|TC007235-RA.p1, gnl|WGS_AAJJ|TC003287-RA.p1, gnl|WGS_AAJJ|TC003289-RA.p1, gnl|WGS_AAJJ|TC003288-RA.p1, gnl|WGS_AAJJ|TC008120-RA.p1, gnl|WGS_AAJJ|TC000733-RA.p1, gnl|WGS_AAJJ|TC012290-RA.p1, gnl|WGS_AAJJ|TC012289-RA.p1, gnl|WGS_AAJJ|TC012291-RA.p1, gnl|WGS_AAJJ|TC034243-RA.p1, gnl|WGS_AAJJ|TC001412-RA.p1, gnl|WGS_AAJJ|TC034160-RA.p1, gnl|WGS_AAJJ|TC034161-RA.p1, gnl|WGS_AAJJ|TC012233-RA.p1, gnl|WGS_AAJJ|TC012232-RA.p1, gnl|WGS_AAJJ|TC012235-RA.p1, gnl|WGS_AAJJ|TC012230-RA.p1, gnl|WGS_AAJJ|TC012234-RA.p1, gnl|WGS_AAJJ|TC012228-RA.p1, gnl|WGS_AAJJ|TC012229-RA.p1, gnl|WGS_AAJJ|TC012231-RA.p1, gnl|WGS_AAJJ|TC034222-RA.p1, gnl|WGS_AAJJ|TC003228-RA.p1, gnl|WGS_AAJJ|TC034087-RA.p1, gnl|WGS_AAJJ|TC012566-RA.p1, gnl|WGS_AAJJ|TC012830-RA.p1, gnl|WGS_AAJJ|TC013653-RA.p1, gnl|WGS_AAJJ|TC000121-RA.p1	XM_024690611.1.p1, XM_024695694.1.p1, XM_001550606.2.p1
OG0000010	gnl|WGS_AAJJ|TC006732-RA.p1, gnl|WGS_AAJJ|TC006733-RA.p1, gnl|WGS_AAJJ|TC000804-RA.p1, gnl|WGS_AAJJ|TC000803-RA.p1, gnl|WGS_AAJJ|TC016251-RB.p1, gnl|WGS_AAJJ|TC032046-RA.p1, gnl|WGS_AAJJ|TC003375-RA.p1, gnl|WGS_AAJJ|TC003379-RA.p1, gnl|WGS_AAJJ|TC033919-RA.p1, gnl|WGS_AAJJ|TC005133-RA.p1, gnl|WGS_AAJJ|TC007922-RA.p1, gnl|WGS_AAJJ|TC032047-RA.p1, gnl|WGS_AAJJ|TC015089-RA.p1, gnl|WGS_AAJJ|TC012856-RA.p1, gnl|WGS_AAJJ|TC009693-RA.p1, gnl|WGS_AAJJ|TC009692-RA.p1, gnl|WGS_AAJJ|TC009694-RA.p1, gnl|WGS_AAJJ|TC009691-RA.p1, gnl|WGS_AAJJ|TC005499-RA.p1, gnl|WGS_AAJJ|TC009690-RA.p1, gnl|WGS_AAJJ|TC015229-RA.p1, gnl|WGS_AAJJ|TC015230-RA.p1, gnl|WGS_AAJJ|TC009697-RA.p1, gnl|WGS_AAJJ|TC033626-RA.p1, gnl|WGS_AAJJ|TC009698-RA.p1, gnl|WGS_AAJJ|TC033627-RA.p1, gnl|WGS_AAJJ|TC034086-RA.p1, gnl|WGS_AAJJ|TC005190-RA.p1, gnl|WGS_AAJJ|TC033340-RA.p1, gnl|WGS_AAJJ|TC033339-RA.p1, gnl|WGS_AAJJ|TC031257-RA.p1, gnl|WGS_AAJJ|TC031398-RA.p1, gnl|WGS_AAJJ|TC011376-RA.p1, gnl|WGS_AAJJ|TC013193-RA.p1, gnl|WGS_AAJJ|TC014795-RA.p1, gnl|WGS_AAJJ|TC003378-RA.p1, gnl|WGS_AAJJ|TC006241-RA.p1, gnl|WGS_AAJJ|TC014687-RA.p1	XM_024691277.1.p1
OG0000010	gnl|WGS_AAJJ|TC005165-RA.p1	XM_001552000.2.p1, XM_024692757.1.p1, XM_001558803.2.p1, XM_001557739.2.p1
OG0000014	gnl|WGS_AAJJ|TC007334-RA.p1, gnl|WGS_AAJJ|TC005342-RA.p1, gnl|WGS_AAJJ|TC006788-RA.p1, gnl|WGS_AAJJ|TC015804-RB.p1, gnl|WGS_AAJJ|TC015804-RA.p1, gnl|WGS_AAJJ|TC007194-RA.p1, gnl|WGS_AAJJ|TC032832-RA.p1, gnl|WGS_AAJJ|TC007133-RA.p1, gnl|WGS_AAJJ|TC007132-RA.p1, gnl|WGS_AAJJ|TC005600-RA.p1, gnl|WGS_AAJJ|TC006110-RA.p1, gnl|WGS_AAJJ|TC033171-RA.p1, gnl|WGS_AAJJ|TC011539-RA.p1, gnl|WGS_AAJJ|TC033748-RA.p1, gnl|WGS_AAJJ|TC000527-RA.p1, gnl|WGS_AAJJ|TC001726-RB.p1, gnl|WGS_AAJJ|TC031568-RA.p1, gnl|WGS_AAJJ|TC007335-RA.p1, gnl|WGS_AAJJ|TC003354-RA.p1, gnl|WGS_AAJJ|TC003355-RB.p1, gnl|WGS_AAJJ|TC009911-RA.p1, gnl|WGS_AAJJ|TC008926-RA.p1, gnl|WGS_AAJJ|TC013309-RA.p1, gnl|WGS_AAJJ|TC005661-RA.p1, gnl|WGS_AAJJ|TC032750-RB.p1	XM_024691871.1.p1
OG0000015	gnl|WGS_AAJJ|TC012253-RB.p1, gnl|WGS_AAJJ|TC012253-RC.p1	XM_024695402.1.p1
OG0000023	gnl|WGS_AAJJ|TC008801-RA.p1, gnl|WGS_AAJJ|TC007517-RA.p1, gnl|WGS_AAJJ|TC005485-RA.p1, gnl|WGS_AAJJ|TC014710-RB.p1, gnl|WGS_AAJJ|TC010960-RA.p1, gnl|WGS_AAJJ|TC010801-RA.p1, gnl|WGS_AAJJ|TC000119-RA.p1, gnl|WGS_AAJJ|TC031238-RA.p1, gnl|WGS_AAJJ|TC034873-RA.p1, gnl|WGS_AAJJ|TC008640-RA.p1, gnl|WGS_AAJJ|TC010846-RA.p1, gnl|WGS_AAJJ|TC007516-RA.p1, gnl|WGS_AAJJ|TC034619-RA.p1, gnl|WGS_AAJJ|TC000077-RA.p1, gnl|WGS_AAJJ|TC000076-RA.p1, gnl|WGS_AAJJ|TC009719-RA.p1, gnl|WGS_AAJJ|TC032813-RB.p1	XM_001552165.2.p1
OG0000040	gnl|WGS_AAJJ|TC007074-RA.p1, gnl|WGS_AAJJ|TC007047-RA.p1, gnl|WGS_AAJJ|TC008454-RA.p1, gnl|WGS_AAJJ|TC008293-RA.p1, gnl|WGS_AAJJ|TC007466-RA.p1, gnl|WGS_AAJJ|TC007470-RA.p1, gnl|WGS_AAJJ|TC007467-RA.p1, gnl|WGS_AAJJ|TC032938-RA.p1	XM_024696738.1.p1
